"Status","Progress","Duration (in seconds)","Finished","DistributionChannel","UserLanguage","Consent","DGS_1","DGS_2","DGS_3","DGS_4","DGS_5","DGS_6","DGS_7","DGS_8","DGS_9","DGS_10","DGS_11","DGS_12","DGS_13","DGS_14","DGS_15","DGS_16","DGS_17","DGS_18","DGS_19","DGS_20","DGS_21","DGS_22","DGS_23","DGS_24","DGS_25","DGS_26","DGS_27","DGS_28","DGS_29","DGS_30","DGS_31","DGS_32","DGS_33","DGS_34","DGS_35","DGS_36","DGS_37","DGS_38","DGS_39","DGS_40","DGS_41","DGS_42","DGS_43","DGS_44","DGS_45","DGS_46","DGS_47","DGS_48","DGS_49","DGS_50","DGS_51","DGS_52","DGS_53","DGS_54","DGS_55","DGS_56","DGS_57","DGS_58","DGS_59","DGS_60","DGS_61","DGS_62","DGS_63","DGS_64","DGS_65","DGS_66","DGS_67","DGS_68","DGS_69","DGS_70","DGS_71","DGS_72","DGS_73","DGS_74","DGS_75","HEXACO_C_1","HEXACO_C_2","HEXACO_C_3","HEXACO_C_4","HEXACO_C_5","HEXACO_C_6","HEXACO_C_7","HEXACO_C_8","HEXACO_C_9","HEXACO_C_10","Age","Gender","Race","Degree","Income","Religion"
"0","100","348","1","anonymous","EN","1","7","5","1","5","1","2","5","5","1","1","5","5","3","5","7","6","5","4","4","5","5","4","1","2","5","1","5","1","7","7","4","5","7","7","5","7","5","7","2","7","1","2","5","1","1","7","2","1","5","4","2","6","2","1","2","5","7","5","6","6","5","4","4","5","7","5","6","4","1","1","6","1","6","7","6","4","5","4","1","3","5","2","3","5","2","34","6","7","5","4","10"
"0","100","1144","1","anonymous","EN","1","5","2","4","5","7","2","4","2","2","2","4","6","6","6","7","6","4","6","6","5","6","5","2","4","3","5","5","2","6","5","4","5","6","6","6","6","5","7","3","4","1","6","4","4","4","5","6","2","2","6","3","4","2","1","4","5","6","6","3","3","6","7","4","4","5","5","","4","2","4","6","4","4","4","4","3","5","2","4","3","3","1","1","1","1","25","2","3","6","3","10"
"0","100","968","1","anonymous","EN","1","2","2","2","5","2","3","5","2","1","2","2","5","2","3","6","5","6","6","4","3","3","5","1","4","5","2","6","2","6","4","4","6","6","6","5","5","6","3","4","7","1","5","7","2","1","7","4","3","6","5","5","6","2","4","6","6","7","7","2","5","6","4","6","5","3","5","7","3","4","1","5","2","1","7","5","2","5","4","4","3","2","2","2","2","4","48","2","6","6","10","10"
"0","100","388","1","anonymous","EN","1","5","5","2","5","5","1","3","2","5","3","6","6","5","6","5","3","5","4","3","3","4","6","2","3","4","3","3","3","3","4","4","5","4","6","3","4","5","7","1","5","3","5","5","3","2","4","3","2","3","4","3","4","2","2","6","3","6","7","3","5","4","4","5","4","5","4","6","5","3","2","7","3","7","5","4","5","2","4","1","2","4","1","2","3","1","33","1","6","5","4","9"
"0","100","832","1","anonymous","EN","1","5","6","2","3","2","1","2","4","5","2","6","5","5","3","6","5","5","5","2","2","4","5","5","3","5","2","2","2","2","5","4","4","6","6","2","5","4","6","1","6","3","3","5","3","5","5","3","2","4","3","3","2","2","3","3","5","6","5","2","5","6","3","5","2","6","3","5","2","2","5","6","2","7","6","5","4","4","4","2","2","5","4","4","4","3","56","1","6","5","1","9"
"0","100","465","1","anonymous","EN","1","6","6","5","6","4","2","4","4","4","4","5","7","4","4","4","6","6","4","5","2","3","7","4","3","4","4","5","1","6","4","4","6","6","6","2","5","6","7","2","4","4","3","4","4","7","2","2","2","4","4","3","5","2","3","6","4","4","4","6","7","5","4","5","4","3","4","2","2","4","7","7","4","4","4","5","3","2","4","3","3","3","2","2","4","3","34","1","1","5","8","10"
"0","100","449","1","anonymous","EN","1","4","5","5","4","4","4","4","3","4","4","6","6","5","4","5","5","5","5","5","4","4","6","4","3","4","5","4","3","5","4","4","5","5","4","4","5","4","4","4","4","4","4","4","4","4","4","7","4","5","4","4","4","2","2","3","4","4","4","3","5","4","4","4","3","5","4","5","5","4","4","4","4","5","4","3","3","4","4","4","4","3","2","3","2","4","30","2","3","2","6","9"
"0","100","556","1","anonymous","EN","1","7","1","1","7","1","4","4","1","1","1","5","7","1","6","6","7","6","6","5","1","1","7","6","1","5","1","7","1","6","6","4","7","6","6","7","4","6","5","3","6","1","1","1","1","1","1","1","1","5","1","1","5","2","1","1","7","6","7","1","5","5","1","7","1","1","4","7","1","1","7","6","1","1","5","3","4","1","2","1","2","4","1","3","3","1","37","1","1","6","7","12"
"0","100","398","1","anonymous","EN","1","2","5","2","3","2","4","3","4","3","2","2","4","3","5","5","3","6","4","2","2","2","4","3","1","2","2","1","1","5","4","4","4","5","5","2","5","2","5","3","4","2","4","6","2","2","6","2","2","4","1","2","1","2","2","5","3","5","6","1","5","5","4","6","2","3","4","6","1","2","3","5","3","3","6","3","5","2","4","2","3","3","2","2","4","3","44","2","6","6","3","12"
"0","100","320","1","anonymous","EN","1","6","6","5","4","6","6","7","5","5","6","6","4","6","4","6","6","6","4","4","6","5","6","4","6","5","5","4","6","4","5","4","6","5","4","7","6","5","6","6","5","5","6","5","6","5","6","4","5","5","6","5","5","2","5","4","5","4","5","5","5","4","5","5","5","5","5","5","5","4","5","5","5","6","5","6","4","3","4","3","3","4","4","3","4","5","29","2","6","5","12","2"
"0","100","510","1","anonymous","EN","1","6","4","1","7","2","4","4","2","2","1","5","7","2","3","7","1","7","7","6","3","3","4","7","6","6","1","5","4","2","7","4","6","7","7","5","7","5","4","2","4","1","5","7","1","1","6","1","4","7","4","3","5","2","1","7","7","7","7","2","5","7","4","7","5","5","3","7","4","1","3","4","1","2","7","7","5","2","5","1","1","3","1","1","3","1","32","2","6","5","8","12"
"0","100","773","1","anonymous","EN","1","3","2","2","5","2","5","5","2","2","2","3","5","2","3","5","5","5","7","5","4","5","4","5","6","6","2","4","5","5","6","4","6","6","6","5","4","5","4","6","4","2","6","3","4","4","6","4","5","5","5","2","4","2","3","6","4","7","7","5","5","5","4","5","5","3","4","4","5","3","5","4","2","3","6","5","5","2","5","1","2","5","1","1","4","1","36","2","6","6","3","6"
"0","100","2128","1","anonymous","EN","1","4","3","1","5","3","3","6","2","2","1","4","6","3","3","6","5","6","6","6","5","3","5","3","5","6","2","5","6","6","7","4","5","6","7","6","6","5","5","4","6","1","4","6","2","4","6","2","4","7","4","3","3","2","4","5","5","6","7","4","5","6","6","6","5","3","4","6","6","3","3","5","2","3","5","4","4","2","4","1","1","5","1","2","2","1","39","1","6","6","8","2"
"0","100","592","1","anonymous","EN","1","3","4","2","4","3","4","5","4","4","2","5","6","4","4","5","4","6","5","4","4","2","5","4","4","4","3","4","3","4","5","4","5","6","5","4","6","5","5","3","4","4","5","6","2","4","5","3","3","4","4","2","4","2","4","4","5","6","6","3","6","5","4","6","4","4","4","4","3","2","4","4","2","4","6","4","3","3","2","2","3","4","2","2","3","2","39","1","6","5","5","1"
"0","100","325","1","anonymous","EN","1","2","6","2","5","3","2","2","2","2","3","6","5","6","6","6","6","6","5","3","2","2","6","5","2","4","2","5","2","5","5","4","3","5","5","2","5","5","5","1","6","4","3","6","2","4","3","2","1","2","2","2","6","2","1","4","5","6","5","2","5","6","3","6","3","5","5","5","2","2","6","6","2","6","6","4","4","4","4","5","2","4","3","4","3","4","52","1","6","5","4","10"
"0","100","918","1","anonymous","EN","1","4","4","2","7","2","4","5","4","2","1","3","5","2","5","6","5","5","6","5","6","6","5","4","6","4","2","5","3","5","5","1","7","5","7","4","5","5","4","1","4","4","7","4","2","6","5","2","3","4","5","4","3","2","2","6","3","6","7","3","7","7","4","6","4","4","5","6","4","2","6","6","2","4","7","5","5","3","4","1","4","5","2","1","2","2","32","1","6","4","6","10"
"0","100","292","1","anonymous","EN","1","7","5","2","5","2","6","5","1","6","1","6","7","2","5","5","6","5","5","6","1","6","7","5","6","6","1","5","1","5","7","4","6","6","6","6","6","5","7","3","5","2","5","4","1","6","7","7","6","7","3","3","5","2","6","7","6","6","7","7","7","6","6","7","6","2","6","6","1","2","1","7","6","1","6","7","4","4","5","2","5","5","1","1","5","4","28","1","6","6","11","6"
"0","100","468","1","anonymous","EN","1","1","2","1","4","1","1","6","1","1","1","2","7","2","2","7","7","7","6","7","1","1","4","1","7","6","1","6","1","7","7","4","7","7","7","4","7","6","7","1","6","1","4","7","1","1","7","1","7","5","1","1","4","2","1","7","6","7","7","4","7","7","1","7","6","1","1","7","1","1","7","7","1","7","7","7","5","2","4","1","1","4","1","1","1","2","45","2","6","5","11","10"
"0","100","698","1","anonymous","EN","1","1","6","3","6","6","5","6","2","2","2","6","7","4","5","6","6","5","6","6","6","3","6","3","5","6","2","6","6","6","6","4","6","7","6","6","6","5","7","2","5","6","6","3","2","2","6","2","6","5","3","3","6","2","2","6","6","6","6","6","6","6","6","6","4","6","3","6","6","3","6","6","3","6","6","6","4","4","5","2","2","4","4","4","4","2","21","1","6","2","2","9"
"0","100","622","1","anonymous","EN","1","3","4","4","3","4","3","5","3","4","3","4","5","4","5","3","3","5","5","3","3","4","4","3","4","3","3","4","5","3","4","3","4","3","3","4","4","4","3","4","3","5","6","5","4","5","4","3","5","3","5","6","3","2","4","5","4","4","3","6","3","3","4","4","4","4","4","4","3","3","5","3","4","5","3","4","3","3","4","2","3","4","3","3","3","1","61","1","6","6","8","5"
"0","100","693","1","anonymous","EN","1","3","5","2","5","5","3","3","3","4","5","5","4","5","5","4","4","4","4","5","2","7","5","2","4","4","4","2","2","4","4","4","4","5","5","2","3","4","5","4","3","5","5","5","4","1","2","4","3","3","4","3","2","2","1","5","3","6","5","3","5","5","4","4","3","6","3","6","1","2","4","4","4","3","6","4","4","4","3","4","3","4","3","3","2","2","29","1","6","5","5","1"
"0","100","576","1","anonymous","EN","1","3","3","4","5","5","5","5","2","4","2","5","2","4","4","5","2","3","3","4","5","2","2","4","5","3","5","2","5","2","3","4","3","3","4","2","4","4","3","4","5","4","4","5","5","3","5","4","5","5","5","2","2","2","2","5","3","3","3","3","2","2","4","4","3","2","3","5","5","4","2","3","4","5","5","2","4","2","4","2","2","4","2","2","3","2","39","2","2","2","5","1"
"0","100","756","1","anonymous","EN","1","3","3","2","4","3","3","5","3","3","3","3","6","3","5","5","5","5","5","4","3","3","5","4","4","4","3","4","3","5","4","4","5","5","5","4","5","5","5","4","4","3","4","5","3","4","4","3","5","4","4","4","4","2","2","5","5","5","6","4","5","5","5","5","4","3","5","4","3","3","3","5","5","4","6","5","4","2","3","1","2","4","2","2","3","2","69","2","6","3","4","1"
"0","100","354","1","anonymous","EN","1","1","4","1","4","1","1","5","1","4","1","4","7","5","3","7","1","5","1","5","1","1","3","1","3","6","1","6","1","6","6","4","5","6","7","2","5","6","7","4","6","1","7","6","1","3","4","2","1","2","3","4","4","2","3","7","1","6","7","5","1","6","5","6","4","1","1","4","1","1","2","6","3","7","7","5","1","1","3","1","1","4","5","4","1","4","48","2","6","3","6","2"
"0","100","459","1","anonymous","EN","1","3","2","1","4","2","5","4","1","2","1","4","5","2","5","6","6","6","5","4","1","2","6","4","4","4","1","3","1","3","6","4","7","6","6","2","5","5","6","3","6","2","5","7","2","1","5","1","3","5","1","1","3","2","1","6","4","6","6","1","5","5","1","6","2","2","1","6","3","1","5","5","2","4","7","4","4","2","4","2","2","4","2","2","2","3","51","2","6","6","3","10"
"0","100","1339","1","anonymous","EN","1","1","2","7","7","1","3","6","1","1","1","5","7","1","3","6","7","7","6","5","6","1","5","4","6","6","1","5","1","5","6","4","5","6","7","2","7","5","6","2","4","1","2","7","1","7","6","1","4","5","2","1","7","2","1","6","7","6","7","5","7","7","7","7","5","1","5","2","1","1","7","7","3","2","7","6","5","2","5","1","1","5","2","1","4","1","30","1","2","5","11","10"
"0","100","551","1","anonymous","EN","1","3","5","1","4","3","2","2","1","1","1","7","6","5","7","7","6","5","5","6","5","3","6","1","1","5","1","6","2","7","5","4","6","7","7","1","3","6","5","2","3","1","6","4","1","1","7","1","1","6","1","2","7","2","1","5","6","6","5","1","7","7","5","7","1","3","7","7","1","1","1","7","2","7","5","3","1","5","5","1","1","5","1","1","1","3","39","1","6","3","3","10"
"0","100","488","1","anonymous","EN","1","7","6","2","4","7","1","3","5","3","5","6","6","7","6","3","6","5","2","4","2","7","6","5","2","2","3","6","2","6","4","4","4","5","7","2","5","6","6","1","4","3","1","2","5","5","6","5","1","3","5","4","5","2","1","3","2","5","6","3","4","3","6","6","2","7","5","3","3","5","5","6","3","7","5","2","1","4","4","4","5","2","2","3","4","4","24","2","2","5","5","12"
"0","100","1001","1","anonymous","EN","1","7","7","4","4","1","2","4","1","1","1","7","6","6","6","4","4","5","5","4","3","7","4","4","1","4","2","5","1","6","4","4","4","5","3","6","4","5","4","2","4","3","4","4","4","3","7","3","2","3","4","2","5","2","1","5","3","7","3","2","3","4","4","4","3","7","4","6","2","4","6","4","4","6","4","4","4","1","3","1","3","3","1","2","5","3","37","1","6","3","8","9"
"0","100","440","1","anonymous","EN","1","3","3","3","4","3","1","4","4","3","3","3","5","3","5","5","5","5","4","4","3","4","4","4","4","4","3","4","4","4","4","4","5","5","5","4","4","4","7","1","5","3","5","4","4","1","5","4","3","4","4","3","4","2","1","4","5","5","5","2","4","4","4","5","3","5","4","3","3","2","3","5","3","1","5","5","4","2","3","5","2","2","3","3","1","3","36","2","6","4","8","10"
"0","100","477","1","anonymous","EN","1","1","2","3","5","2","5","3","2","1","1","2","6","1","5","6","6","5","5","5","5","2","5","2","5","5","1","5","1","5","6","4","5","6","6","1","6","3","6","3","5","1","6","6","1","1","6","1","1","3","2","1","5","2","1","3","6","7","7","2","6","6","1","6","2","3","1","6","1","1","3","5","1","1","6","5","5","1","4","1","1","5","1","1","5","1","49","2","6","3","3","10"
"0","100","314","1","anonymous","EN","1","4","5","5","6","5","3","4","4","4","3","5","5","4","4","4","4","5","3","4","3","4","4","4","3","4","5","4","5","4","5","4","5","4","5","4","4","5","5","4","4","4","4","5","3","1","5","3","3","4","4","4","4","2","2","5","3","4","5","4","4","4","4","5","4","5","5","4","4","3","5","5","2","5","4","5","3","4","3","3","3","3","3","3","3","3","27","1","1","3","7","10"
"0","100","586","1","anonymous","EN","1","3","5","2","5","2","5","3","1","1","1","6","6","2","7","6","3","5","6","2","3","4","5","3","5","5","2","7","1","7","7","4","5","6","6","1","5","5","7","3","5","2","5","3","4","5","7","2","3","5","2","1","5","2","1","6","5","7","7","2","4","7","6","4","5","5","2","6","1","1","6","6","1","5","6","5","4","1","1","1","4","4","2","1","1","3","61","2","3","3","3","5"
"0","100","620","1","anonymous","EN","1","3","3","4","5","3","4","4","3","3","5","3","5","5","4","5","4","6","4","4","5","4","5","2","5","5","3","5","4","4","6","4","5","5","7","4","5","5","5","1","6","3","6","6","1","4","5","3","5","3","5","3","4","2","3","6","5","6","4","3","5","5","5","6","4","4","4","5","4","2","5","5","4","7","6","6","3","4","4","1","3","4","2","2","3","2","40","1","6","2","2","9"
"0","100","654","1","anonymous","EN","1","2","2","2","6","2","4","6","2","2","2","2","6","2","2","6","6","6","6","6","6","2","6","2","2","6","2","6","6","5","6","4","6","6","6","6","6","6","4","2","2","2","6","6","2","4","6","2","6","6","2","2","6","2","2","6","6","6","6","6","6","6","6","6","6","2","2","6","6","2","5","4","2","6","6","6","5","1","5","1","1","5","1","1","1","1","36","2","6","2","1","1"
"0","100","166","1","anonymous","EN","1","5","4","4","4","4","3","5","5","5","4","5","4","4","4","4","4","4","4","4","5","4","4","5","4","4","5","4","3","4","4","4","5","5","5","4","4","5","5","5","4","4","5","5","5","4","5","4","5","5","4","5","3","2","4","5","5","4","3","5","4","5","3","4","4","4","5","4","4","5","5","4","4","4","3","5","3","4","3","3","4","3","3","3","2","3","23","1","6","6","3","11"
"0","100","414","1","anonymous","EN","1","5","5","4","4","3","3","4","4","3","3","4","4","4","5","3","5","4","4","5","5","5","5","5","5","4","3","5","3","4","5","4","5","5","5","4","4","4","4","3","6","4","4","5","4","5","5","6","5","3","6","5","4","2","4","4","3","5","5","3","3","5","4","5","4","5","3","3","5","5","4","5","5","3","5","4","3","3","2","2","4","3","4","4","2","3","21","2","6","3","1","1"
"0","100","687","1","anonymous","EN","1","3","3","3","5","3","3","4","3","3","3","3","4","4","4","5","5","5","5","4","3","4","5","3","4","4","3","3","3","4","4","4","5","5","4","3","4","4","5","3","5","3","5","3","3","5","4","3","3","4","3","4","4","2","3","3","4","5","5","4","5","5","4","5","4","3","4","3","3","3","4","5","4","3","5","5","4","2","4","2","2","4","2","2","3","2","34","1","6","5","11","1"
"0","100","435","1","anonymous","EN","1","3","3","3","4","2","1","3","4","3","3","5","4","4","2","4","5","4","3","4","2","3","5","3","4","4","2","3","3","2","5","4","4","3","5","2","5","4","4","2","2","3","3","2","2","3","5","1","4","1","2","4","2","2","2","4","4","4","5","2","3","4","1","5","2","5","2","4","2","2","4","3","2","6","5","3","3","2","4","2","4","4","3","1","2","2","48","1","6","3","8","2"
"0","100","27","1","anonymous","EN","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"0","100","152","1","anonymous","EN","1","4","4","6","5","4","5","6","4","4","3","5","4","5","4","3","4","5","5","6","5","5","4","4","4","5","4","4","4","4","5","4","6","4","4","4","5","5","6","4","5","3","4","4","6","5","5","5","4","5","5","5","5","2","5","4","5","5","4","5","5","4","3","3","4","4","5","5","4","3","5","3","4","5","6","4","3","2","3","4","4","3","4","3","3","4","19","2","6","3","10","11"
"0","100","445","1","anonymous","EN","1","6","7","7","2","5","1","1","7","7","6","6","2","6","6","1","2","1","1","2","1","7","3","3","1","1","2","1","1","1","1","4","1","2","5","1","1","1","7","1","2","5","3","1","6","7","1","4","1","1","1","5","1","2","2","3","1","1","1","1","1","1","5","1","1","7","6","1","1","6","7","7","6","7","4","1","4","2","2","1","4","3","1","1","4","1","30","1","6","5","8","1"
"0","100","821","1","anonymous","EN","1","3","2","1","6","3","2","4","3","3","3","1","6","3","5","5","5","5","5","3","2","5","5","5","3","5","2","5","2","2","6","4","5","5","5","3","5","2","7","1","5","2","5","5","5","5","5","5","3","5","2","5","1","2","3","5","5","6","6","5","5","4","5","6","4","5","3","6","2","3","4","6","2","5","5","5","4","1","4","2","2","5","2","1","4","2","49","1","6","7","12","9"
"0","100","393","1","anonymous","EN","1","5","3","2","6","4","3","5","2","3","3","3","6","3","5","6","6","6","6","6","4","4","6","6","5","4","3","5","5","5","5","4","7","6","4","5","6","6","6","3","5","3","3","5","2","4","5","3","4","5","5","4","4","2","1","6","5","6","6","5","5","6","6","5","6","4","2","6","7","1","4","6","3","4","7","6","5","2","5","2","3","5","2","2","4","2","33","1","1","5","10","10"
"0","100","1151","1","anonymous","EN","1","2","5","4","6","2","4","3","2","1","1","4","6","2","4","7","4","4","6","4","1","1","4","1","4","4","1","5","2","5","7","4","4","6","7","2","7","5","4","4","4","1","6","7","1","2","7","1","2","5","2","1","6","2","1","6","5","7","7","1","6","7","4","7","3","2","3","6","2","1","2","6","1","3","7","6","4","4","4","1","1","5","3","2","5","2","34","5","6","3","8","11"
"0","100","579","1","anonymous","EN","1","2","7","1","4","2","1","5","1","2","1","5","4","1","6","5","3","7","3","4","5","6","5","1","5","4","1","5","1","6","5","4","6","5","6","2","7","4","6","5","6","1","7","1","2","2","7","3","2","2","3","5","3","2","1","6","5","6","7","1","6","6","5","7","2","6","6","7","2","3","3","7","1","6","6","5","4","4","2","2","4","4","2","1","1","1","56","2","6","4","6","10"
"0","100","821","1","anonymous","EN","1","2","5","6","2","1","2","2","3","2","2","6","3","4","7","6","2","6","5","4","4","2","4","1","2","1","1","4","2","7","5","4","6","7","3","7","5","5","6","1","6","2","5","5","1","3","4","2","1","4","6","2","5","2","1","5","4","7","7","2","4","6","6","7","4","5","5","3","1","2","5","5","2","7","6","4","4","3","3","2","3","5","4","3","4","4","58","1","2","2","10","10"
"0","100","815","1","anonymous","EN","1","3","3","2","4","2","1","5","3","7","2","4","5","4","4","5","3","5","6","4","2","2","5","1","3","4","2","1","2","1","6","4","5","4","4","1","6","5","5","2","4","2","4","4","2","5","4","2","4","4","2","4","1","2","2","6","5","5","4","3","6","6","5","6","5","2","4","3","2","2","6","4","4","5","6","5","3","4","5","1","1","4","2","1","3","3","23","5","4","4","7","12"
"0","100","548","1","anonymous","EN","1","3","5","5","4","3","2","4","2","2","1","6","5","6","7","5","5","5","2","4","5","3","4","6","2","5","2","5","2","3","4","4","4","5","5","2","5","1","5","2","5","1","4","5","1","1","6","2","2","3","4","4","2","2","1","2","4","6","6","1","5","5","5","6","2","5","5","5","1","1","5","6","4","6","6","4","4","4","5","1","1","5","2","1","4","2","44","2","2","6","6","9"
"0","100","774","1","anonymous","EN","1","4","5","4","1","1","1","3","2","4","2","2","5","5","6","5","6","1","5","5","1","6","4","2","5","4","2","4","2","4","5","4","2","6","7","2","5","3","6","1","5","1","7","6","1","1","5","1","2","3","1","3","4","2","1","6","2","5","7","2","3","5","4","5","3","5","4","7","2","1","3","7","1","7","7","5","4","4","5","2","1","4","4","2","1","3","65","2","6","5","11","12"
"0","100","409","1","anonymous","EN","1","5","6","5","6","4","1","2","5","2","2","6","6","5","5","4","6","4","2","4","2","4","6","5","2","2","2","5","1","4","4","4","2","5","6","2","4","4","7","1","4","4","4","4","4","6","6","2","2","3","6","2","3","2","1","5","2","5","6","1","4","4","6","5","2","3","3","3","2","2","6","7","5","7","6","2","4","2","3","2","4","4","1","1","2","2","35","1","6","5","3","10"
"0","100","412","1","anonymous","EN","1","2","5","1","7","1","3","6","1","3","1","6","5","2","3","7","6","6","7","6","5","1","6","1","4","5","2","2","3","3","5","4","7","6","6","5","5","6","7","2","5","1","7","4","1","5","5","1","3","6","4","4","4","2","2","6","4","6","6","5","7","6","6","7","5","1","2","5","1","1","7","7","5","3","6","7","5","2","4","2","4","3","1","2","1","1","23","1","6","5","3","2"
"0","100","404","1","anonymous","EN","1","1","2","1","2","2","2","1","1","2","1","4","4","2","3","7","6","7","4","6","2","1","7","2","2","5","1","1","1","1","5","4","6","6","7","1","6","5","7","1","7","1","6","7","1","5","2","2","2","2","2","2","1","2","2","2","5","7","7","2","5","6","2","7","2","1","2","5","1","1","6","7","1","7","7","6","4","1","4","1","2","5","1","1","3","1","30","1","6","5","6","9"
"0","100","471","1","anonymous","EN","1","3","3","2","3","5","3","3","3","5","4","3","3","5","4","5","3","5","2","4","2","5","3","3","3","5","4","3","4","4","5","4","5","2","3","3","5","3","3","2","4","5","3","3","3","4","4","4","3","4","3","4","4","2","5","3","5","5","5","3","3","2","3","4","2","2","2","4","3","3","5","2","3","2","3","2","4","2","3","4","4","4","4","3","2","2","40","1","6","5","11","10"
"0","100","494","1","anonymous","EN","1","3","3","2","3","3","2","2","2","1","3","3","3","4","3","3","4","4","4","3","3","4","3","2","2","2","2","5","3","4","4","4","4","4","4","3","3","3","4","2","4","2","4","3","4","2","4","3","3","4","2","3","4","2","2","3","4","5","4","2","2","4","3","3","3","5","4","5","3","3","3","4","2","4","4","4","2","4","3","1","2","5","3","4","4","4","28","5","7","3","1","12"
"0","100","462","1","anonymous","EN","1","6","2","1","1","4","1","1","4","5","2","2","4","6","5","5","4","5","2","2","1","5","4","1","2","3","2","3","1","1","3","4","4","4","4","1","3","4","6","1","4","2","4","4","2","3","2","3","2","1","2","3","1","2","3","4","3","6","5","2","3","4","2","5","1","6","2","6","1","3","5","6","2","7","6","2","4","1","3","2","4","4","2","1","1","2","46","2","6","3","4","10"
"0","100","469","1","anonymous","EN","1","2","5","2","5","2","3","6","2","2","2","3","6","2","6","6","3","5","6","5","2","2","5","2","5","6","2","5","2","3","6","4","6","7","6","2","7","5","5","3","2","2","5","6","1","2","5","3","2","3","3","2","2","2","2","5","3","6","6","3","6","6","3","7","5","2","2","5","2","2","3","5","2","2","6","5","5","1","2","2","1","4","2","2","1","2","67","2","6","5","8","1"
"0","100","472","1","anonymous","EN","1","1","4","1","4","3","2","5","1","1","1","1","5","5","7","5","5","7","5","5","5","3","5","6","3","4","1","4","1","6","6","4","6","6","6","4","7","6","7","6","5","1","1","4","2","1","6","4","4","4","4","1","5","2","1","7","4","7","7","3","5","7","4","6","4","4","5","6","1","1","1","6","1","7","6","4","5","3","1","1","5","3","1","1","3","1","40","1","6","2","1","10"
"0","100","551","1","anonymous","EN","1","6","7","5","5","3","2","2","5","1","2","7","6","3","3","5","6","5","6","2","3","5","5","2","1","3","2","6","1","7","5","4","2","6","6","1","6","4","7","1","6","2","6","5","3","2","7","1","1","3","2","2","4","2","1","3","3","6","6","2","5","5","5","5","2","6","5","6","2","2","3","6","2","5","6","5","4","5","5","5","5","1","1","2","1","1","26","2","2","5","5","9"
"0","100","484","1","anonymous","EN","1","3","6","2","4","3","2","3","4","3","2","6","5","5","5","5","5","5","5","4","1","2","3","2","5","4","3","2","2","2","5","4","5","5","4","3","6","3","4","2","4","1","5","6","1","1","6","1","3","3","1","2","1","2","1","3","3","6","6","2","6","6","2","7","3","5","5","3","3","1","5","4","2","6","5","5","4","2","2","2","4","2","3","1","1","3","39","2","6","6","1","12"
"0","100","318","1","anonymous","EN","1","3","4","6","5","5","2","3","2","2","2","6","5","5","6","5","5","5","3","4","5","5","6","2","2","3","3","4","3","4","5","4","7","7","5","5","7","5","5","1","4","1","4","7","3","5","6","3","2","2","3","1","5","2","1","6","3","7","6","1","7","5","2","5","3","7","5","7","2","1","3","5","1","3","6","4","4","2","3","2","3","2","4","4","2","2","25","5","6","2","5","10"
"0","100","472","1","anonymous","EN","1","4","1","3","6","2","3","5","1","2","1","1","5","2","3","5","4","5","5","4","4","5","6","1","4","5","3","5","7","6","5","4","5","5","6","4","5","5","5","3","4","1","7","5","5","4","7","1","4","4","4","1","5","2","2","3","5","6","5","2","4","5","5","3","4","7","4","5","7","2","4","5","1","3","7","4","5","1","5","1","1","5","1","1","5","1","56","2","6","3","11","9"
"0","100","516","1","anonymous","EN","1","7","3","2","1","4","6","4","6","1","2","4","7","2","4","7","7","7","7","5","5","5","7","3","7","7","1","7","3","7","7","4","6","7","7","7","6","6","4","4","5","4","4","7","2","5","7","6","2","7","7","2","6","2","1","3","5","7","7","2","6","7","2","6","2","5","3","4","6","1","6","4","2","6","4","2","2","1","4","4","4","3","3","3","1","3","29","1","2","3","2","11"
"0","100","466","1","anonymous","EN","1","7","5","2","5","1","3","7","2","2","1","1","6","7","4","6","7","7","5","4","6","4","6","1","6","3","1","4","7","3","6","4","5","7","7","7","6","5","6","5","7","2","6","6","1","2","7","1","3","5","3","4","4","2","1","4","6","7","7","2","7","5","4","7","3","7","5","7","7","1","4","7","7","7","7","7","4","5","2","1","1","5","1","1","3","1","30","2","6","5","12","2"
"0","100","598","1","anonymous","EN","1","4","5","3","5","3","1","4","3","2","3","4","6","3","6","3","6","5","5","5","6","3","7","4","6","4","2","5","4","4","6","4","6","6","6","6","5","5","4","6","4","4","4","4","3","3","5","5","3","5","5","3","5","2","3","6","6","6","5","5","6","4","5","6","5","6","3","6","6","3","6","5","4","3","4","6","4","3","4","2","2","4","3","3","3","3","33","1","6","5","6","5"
"0","100","735","1","anonymous","EN","1","1","6","4","4","2","7","2","2","4","1","7","4","4","4","6","4","5","6","4","6","4","4","4","4","5","2","5","1","4","6","4","5","7","7","4","7","6","4","7","6","2","6","7","1","4","7","2","5","5","5","4","4","2","1","5","6","7","7","5","7","6","4","7","7","4","4","7","2","2","6","4","3","3","6","4","4","4","3","1","2","5","2","3","5","2","23","5","6","4","1","9"
